Id Arbeidssted;Forvalt.location.coordinates.XCoordinate;Forvalt.location.coordinates.YCoordinate;ArbeidsstedOgTariffavtale.ID Tariffavtale
50346508;9,10880503;59,59999557;50346508 216200 - PU Virke Energistasjonsoverenskomsten
50300946;29,98768507;69,68697113;50300946 216100 - Virke Energistasjonsoverenskomsten
50303897;11,11455843;60,03590124;50303897 210200 - PU Virke Landsoverenskomsten
50316629;10,74313602;59,91257417;50316629 210100 - Virke Landsoverenskomsten
50036165;11,2424635;60,40323378;50036165 210100 - Virke Landsoverenskomsten
60003942;5,626291296;58,77931345;60003942 210200 - PU Virke Landsoverenskomsten
50343844;23,27263058;69,96617217;50343844 210100 - Virke Landsoverenskomsten
50009198;10,41176441;59,26928606;50009198 210100 - Virke Landsoverenskomsten
50303314;5,735059;58,85242545;50303314 210100 - Virke Landsoverenskomsten
50354576;10,81581883;59,91107167;50354576 210100 - Virke Landsoverenskomsten
50322072;10,22456554;59,73663618;50322072 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50322072;10,22456554;59,73663618;50322072 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50308793;10,43321829;61,13389656;50308793 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50355181;5,72177217;58,87626535;50355181 210100 - Virke Landsoverenskomsten
50353168;9,975922086;59,94789393;50353168 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
60001971;17,83444366;68,87527393;60001971 210200 - PU Virke Landsoverenskomsten
50010771;9,69284101;62,59494853;50010771 210100 - Virke Landsoverenskomsten
50343089;10,44651791;63,44368811;50343089 210100 - Virke Landsoverenskomsten
50342690;11,5714672;59,88676134;50342690 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50010061;5,80266897;60,8143746;50010061 210100 - Virke Landsoverenskomsten
50275806;23,27263058;69,96617217;50275806 210100 - Virke Landsoverenskomsten
50347952;7,99559436;58,14510579;50347952 210100 - Virke Landsoverenskomsten
50352247;5,33174967;59,39518083;50352247 210100 - Virke Landsoverenskomsten
50311122;5,35447205;60,31155599;50311122 210100 - Virke Landsoverenskomsten
60005562;18,92965151;69,67412429;60005562 210200 - PU Virke Landsoverenskomsten
50307501;5,23362819;60,36322021;50307501 210100 - Virke Landsoverenskomsten
50326724;10,67173739;60,78429827;50326724 210100 - Virke Landsoverenskomsten
50328568;10,74514472;59,60523191;50328568 210100 - Virke Landsoverenskomsten
50010480;16,50744958;68,81151272;50010480 210100 - Virke Landsoverenskomsten
50303905;15,39052506;67,10254642;50303905 210200 - PU Virke Landsoverenskomsten
50344526;10,3971526;63,43259053;50344526 210100 - Virke Landsoverenskomsten
50346825;5,72177217;58,87626535;50346825 210100 - Virke Landsoverenskomsten
50302169;10,70323988;59,4462476;50302169 210100 - Virke Landsoverenskomsten
60004275;10,85100192;59,71267089;60004275 210100 - Virke Landsoverenskomsten
50007022;18,91624703;69,66755788;50007022 210100 - Virke Landsoverenskomsten
50322176;10,12605188;59,75309854;50322176 210100 - Virke Landsoverenskomsten
50310111;11,08290975;59,27403313;50310111 210100 - Virke Landsoverenskomsten
50315813;10,74104462;59,92182556;50315813 210100 - Virke Landsoverenskomsten
50250131;9,67946201;59,02810581;50250131 210100 - Virke Landsoverenskomsten
50349582;11,05638806;60,80931288;50349582 210100 - Virke Landsoverenskomsten
50352215;6,497060978;58,52508113;50352215 210100 - Virke Landsoverenskomsten
50348265;5,73576952;58,97072712;50348265 210100 - Virke Landsoverenskomsten
50300140;11,08768299;59,28784927;50300140 210100 - Virke Landsoverenskomsten
50006432;10,12779491;59,75516665;50006432 210100 - Virke Landsoverenskomsten
50009690;12,20599053;65,47062006;50009690 213100 - Virke Bok og Papiravtalen
50316339;10,52113516;59,88685265;50316339 213100 - Virke Bok og Papiravtalen
50307326;5,73965241;58,84822783;50307326 210100 - Virke Landsoverenskomsten
50301147;8,523376453;59,01894732;50301147 210100 - Virke Landsoverenskomsten
50343582;10,20699034;61,2269403;50343582 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
60003471;5,33115459;60,29686524;60003471 210100 - Virke Landsoverenskomsten
50000805;10,94913376;59,94745843;50000805 210100 - Virke Landsoverenskomsten
50003018;10,83927862;59,71503363;50003018 210100 - Virke Landsoverenskomsten
